笔记名称,笔记链接,发布日期,观看量,评论数,点赞量,分享数,收藏数,直接涨粉数,标签,类别
全职娃妈Gap4年重返职场上岸DS如何避免弯路,https://www.xiaohongshu.com/explore/64a7c008000000002f02417c,07/07/2023,720,0,1,0,0,1,#我的转行初体验 #初入职场的我们 #全职妈妈 #全职宝妈 #全职妈妈那些事 #北美求职 #Gap #转行 #Techlent转行数据科学,经验分享
物理博士如何从中国讲师转行成为澳洲DS,https://www.xiaohongshu.com/explore/64a76f69000000002f029c40,07/08/2023,582,0,0,1,0,1,#我的转行初体验 #澳洲求职 #物理博士 #数据科学 #datascience #转行 #讲师 #Techlent转行数据科学,直播通知
北美数据科学干货：内推真的有用吗？,https://www.xiaohongshu.com/explore/64ad189f0000000023035468,07/11/2023,929,0,2,0,1,1,#不懂就问有问必答 #内推 #北美求职 #职场干货 #数据科学 #北美data求职 #Techlent转行数据科学,干货分享
新手零基础上岸 Data Analyst，别错过这篇,https://www.xiaohongshu.com/explore/64ae6d42000000002f028a26,07/12/2023,973,4,2,2,6,3,#找工作别走弯路 #数据分析 #北美求职 #上岸 #dataanalyst #DA #北美data求职 #找工作 #Techlent转行数据科学,课程宣传
辞掉中国高校讲师上岸澳洲DS，跨国转行感悟,https://www.xiaohongshu.com/explore/64b117d8000000001002b62d,07/14/2023,779,0,4,1,3,1,#我的转行初体验 #求职经验侃侃谈 #留学澳洲 #澳洲求职 #高校教师 #讲师#数据科学 #转行做什么 #职业规划 #澳洲生活 #datascience #Techlent转行数据科学,经验分享
Data打工人呕血整理：澳洲数据科学岗位特点,https://www.xiaohongshu.com/explore/64b50da900000000340176e1,07/17/2023,902,0,7,3,8,3,#不懂就问有问必答 #澳洲求职 #留学澳洲 #澳洲留学生 #澳洲生活 #数据科学 #数据分析#datascience #dataanalyst #Techlent转行数据科学,干货分享
BERT和GPT的出现NLP技术研究和应用的影响,https://www.xiaohongshu.com/explore/64b7a648000000001002ac7a,07/19/2023,758,0,0,0,1,1,#不懂就问有问必答 #Gpt #chatgpt #NLP #BERT #知识科普 #数据科学 #Techlent转行数据科学,干货分享
如何从Healthcare公司的 BA 转成湾区大厂DA,https://www.xiaohongshu.com/explore/64b8deb4000000001700d11d,07/20/2023,1124,0,7,3,3,1,#我的转行初体验 #数据分析 #北美求职 #DA #dataanalyst #BA #healthcare #北美data求职 #Techlent转行数据科学,经验分享直播预告
如何从Healthcare公司的BA转成湾区大厂DA,https://www.xiaohongshu.com/explore/64ba2e69000000000b02bb99,07/23/2023,804,0,1,1,0,1,#我的转行初体验 #数据分析 #大厂 #北美求职 #DA #湾区 #湾区大厂 #BA #healthcare #北美data求职 #Techlent转行数据科学,直播通知
拿到湾区大厂offer，我用了哪些求职技巧,https://www.xiaohongshu.com/explore/64bf99ac000000000a019d9d,07/25/2023,634,0,2,0,3,1,#找工作别走弯路 #北美求职 #大厂 #湾区 #数据科学 #数据分析 #面试技巧 #互联网大厂 #留学生求职 #Techlent转行数据科学,经验分享
零基础新手数据科学 bootcamp，即将截止！,https://www.xiaohongshu.com/explore/64c230e2000000001201ad89,07/27/2023,727,0,2,2,2,2,#找工作别走弯路 #北美求职 #数据科学 #Bootcamp #北美data求职 #零基础上岸 #Techlent转行数据科学,课程宣传
我如何拿到湾区大厂 DA offer（Q&A篇）,https://www.xiaohongshu.com/explore/64c38e43000000000800c6c8,07/28/2023,919,0,5,2,5,2,#不懂就问有问必答 #大厂 #大厂实习 #北美求职 #留学生求职 #湾区 #湾区生活 #湾区大厂 #DA #dataanalyst #数据分析 #Techlent转行数据科学,干货分享
【直播预告】荷兰数据科学岗位分析,https://www.xiaohongshu.com/explore/64c5027a000000001201d89d,07/29/2023,689,0,2,0,0,2,#欧洲求职 #博士 #数据科学 #Techlent转行数据科学 #直播预告 #欧洲生活 #移民 #求职 #留学生 #找工作 #留學,经验分享直播预告
正在直播‼️ 荷兰数据科学岗位分析,,07/30/2023,527,0,1,0,1,1,,
本周日，和大华府地区的数据科学家面对面！,https://www.xiaohongshu.com/explore/64c8d23c0000000010031ea5,08/01/2023,1163,0,3,1,1,1,#华盛顿dc #约翰霍普金斯大学 #美国求职 #数据分析 #数据科学 #北美求职 #大华府 #马里兰大学 #华盛顿大学 #DMV #DMV周边 #美国留学生 #留学生求职 #转行数据科学家 #北美数据科学 #Techlent转行数据科学,线下交流会
Amazon 的 BIE 面试考什么？,https://www.xiaohongshu.com/explore/64ca193e000000001700ed77,08/02/2023,969,0,11,0,16,1,#不懂就问有问必答 #Amazon #大厂 #北美求职 #亚马逊 #数据分析 #面试技巧 #北美data求职 #bie #Techlent转行数据科学,干货分享
报名即将截止！大华府线下数据科学家交流会,https://www.xiaohongshu.com/explore/64cc6244000000001700fcb5,08/03/2023,781,0,3,0,3,2,#华盛顿dc #约翰霍普金斯大学 #马里兰大学 #理海大学 #美国求职 #大华府 #DMV #DMV周边 #北美求职 #数据科学 #转行数据科学家 #美国留学生 #Techlent转行数据科学 #在美华人,线下交流会
秋招在即，7月北美数据科学岗位有何变化,https://www.xiaohongshu.com/explore/64cc9d96000000001201bf8d,08/04/2023,695,0,1,1,2,0,#不懂就问有问必答 #秋招 #北美求职 #美国求职 #北美data求职 #留学生求职 #datascience #dataanalyst #数据分析 #dataengineer #machinelearning #Techlent转行数据科学,干货分享
早鸟票倒计时10天！数据科学一站式 Camp,https://www.xiaohongshu.com/explore/64ccbd8e000000001701b354,08/04/2023,676,0,1,0,1,0,#我的转行初体验 #北美求职 #北美data求职 #编程 #早鸟票 #训练营 #数据科学 #面试技巧 #camp #Bootcamp #Techlent转行数据科学,报名截止日期
正在直播：数据科学家做什么？如何入行？,https://www.xiaohongshu.com/explore/64cf9358000000000b02a3e1,08/06/2023,611,0,2,1,0,1,#华盛顿dc #约翰霍普金斯大学 #马里兰大学 #理海大学 #美国求职 #大华府 #DMV #DMV周边 #北美求职 #数据科学 #转行数据科学家 #美国留学生 #在美华人 #Techlent转行数据科学,直播通知
专为理工科博士设计，零基础数据科学训练营,https://www.xiaohongshu.com/explore/64d0a614000000001201c156,08/07/2023,666,0,2,2,1,0,#北美求职#数据科学 #理工科博士 #零基础入门 #Bootcamp#博士转行 #留学生求职 #转行数据科学 #转行数据科学家 #Techlent转行数据科学,报名截止日期
工业界中构建推荐系统的难点,https://www.xiaohongshu.com/explore/64d201da000000001700fecf,08/08/2023,660,0,0,0,2,0,N/A,干货分享
早鸟票最后3天！零基础上岸 data 必备,https://www.xiaohongshu.com/explore/64d5feb9000000001701af82,08/11/2023,568,0,0,1,0,0,#北美data求职 #北美转data #数据科学 #北美求职 #求职季 #转行 #转行数据科学家 #北美求职 #零基础上岸 #Techlent转行数据科学,报名截止日期
正在直播! 北美数据科学训练营在线答疑会,https://www.xiaohongshu.com/explore/64d5e4a8000000001701abc6,08/13/2023,581,0,0,2,0,3,#北美求职 #数据科学 #留学生求职 #data入门 #理工博士 #北美博士 #博士转行 #转行数据科学家 #Techlent转行数据科学,直播通知
早鸟票最后 1 天！专为理工科博士设计,https://www.xiaohongshu.com/explore/64da18cd000000000301fc91,08/14/2023,677,0,3,1,1,1,N/A,报名截止日期
DA Camp 学员成功拿下 Amazon offer！,https://www.xiaohongshu.com/explore/64ddd637000000000b02bc74,08/17/2023,1020,2,3,1,5,6,#数据分析 #数据分析求职 #Amazon #大厂offer #DA #数据分析我在行 #北美data求职 #北美求职 #dataanalyst #dataanalysis,课程宣传
作为单亲妈妈，我如何克服困难最终上岸 DA,https://www.xiaohongshu.com/explore/64ddd06c0000000003023150,08/17/2023,849,0,2,0,2,0,#数据分析 #数据分析我在行 #数据分析求职 #单亲妈妈 #重返职场的妈妈 #北美求职 #上岸 #职场妈妈的日常 #零基础转行数据分析 #数据分析师 #dataanalyst #Techlent转行数据科学,经验分享直播预告
正在直播：单亲妈妈如何克服困难成功上岸DA,https://www.xiaohongshu.com/explore/64df10d3000000000103d93b,08/20/2023,533,0,1,1,0,0,#数据分析 #数据分析我在行 #数据分析求职 #单亲妈妈 #北美求职 #上岸 #职场妈妈 #职场妈妈的日常 #零基础转行数据分析 #数据分析师 #DA #dataanalyst #Techlent转行数据科学,直播通知
最后5天！零基础也能上岸数据科学的捷径,https://www.xiaohongshu.com/explore/64e5c281000000000800c861,08/23/2023,607,0,0,0,0,1,#北美data求职 #北美转data #数据科学 #编程 #Python #data入门 #DS #datascience #Techlent转行数据科学,报名截止日期
单亲妈妈逆袭DA，求职心路历程分享,https://www.xiaohongshu.com/explore/64e5c8120000000017019030,08/23/2023,671,0,0,0,0,0,#北美data求职 #单亲妈妈 #职场妈妈#职场妈妈的日常 #DA #数据分析师 #美国就业 #北美求职 #数据分析我在行 #数据分析求职 #Techlent转行数据科学,经验分享
倒计时3天！下一个上岸数据科学的就是你,https://www.xiaohongshu.com/explore/64e71192000000000103e56f,08/25/2023,563,0,0,1,0,0,#数据科学 #上岸 #北美求职 #北美data求职 #编程 #理工科转行 #python学习 #转行数据科学家 #Techlent转行数据科学,报名截止日期
最后1天！数据科学训练营报名即将截止,https://www.xiaohongshu.com/explore/64e84168000000000301f56d,08/28/2023,490,0,0,0,0,1,#数据科学 #北美求职 #datascience #北美data求职 #转行数据科学家 #coding #Python #python学习 #留学生求职 #北美数据科学 #Techlent转行数据科学,报名截止日期
《一对一数据分析模拟面试》开始报名！,https://www.xiaohongshu.com/explore/64ed612300000000200039e0,08/29/2023,839,3,3,0,5,0,#数据分析面试 #数据分析 #模拟面试 #mockinterview #数据分析求职 #面试技巧 #一对一面试 #数据分析转行 #北美data求职 #DA #dataanalyst #Techlent转行数据科学,课程宣传
食品科学博士如何成为英国保险公司的 DS,https://www.xiaohongshu.com/explore/64ef07f3000000001e02c27d,08/30/2023,593,0,1,2,1,1,#数据科学 #博士转行 #英国求职#食品专业 #食品科学 #保险行业 #北美博士 #博士后 #Techlent转行数据科学,经验分享直播预告
拿到近50个DA面试，我好像找到了面试密码,https://www.xiaohongshu.com/explore/64f03dd1000000001f037c03,08/31/2023,570,0,2,0,1,0,#数据分析我在行 #数据分析 #数据分析求职 #数据分析有窍门 #数据分析学习 #面试有秘招 #面试技巧 #北美求职 #北美data求职 #Techlent转行数据科学,经验分享
倒计时10天！零基础三个月上岸数据分析,https://www.xiaohongshu.com/explore/64f1802c000000001e03ebb2,09/01/2023,545,0,0,0,0,0,N/A,报名截止日期
大语言模型（LLM）课程推荐,https://www.xiaohongshu.com/explore/64f1b207000000001d016df8,09/02/2023,691,0,4,1,3,4,#大语言模型 #LLM #chatgpt #AI #Gpt #数据科学 #语言模型 #建模 #AI模型 #数据科学 #Techlent转行数据科学,课程宣传
食品科学博士如何成为英国保险公司的DS,https://www.xiaohongshu.com/explore/64f17a81000000001e022833,09/03/2023,574,0,1,1,0,0,#datascience #博士转行 #数据科学 #转行 #欧洲求职 #英国求职 #保险业 #转行数据科学家 #数据科学家工资 #Techlent转行数据科学,直播通知
DA Camp 报名倒计时7天！本周日将在线答疑,https://www.xiaohongshu.com/explore/64f5a285000000001e02d2ab,09/04/2023,580,0,1,1,0,0,N/A,报名截止日期
核心求职课程：数据科学家如何讲故事？,https://www.xiaohongshu.com/explore/64f6f1ea0000000020000d21,09/05/2023,676,2,2,2,1,1,#数据科学 #求职经验侃侃谈 #北美数据科学 #北美求职 #北美data求职 #讲故事 #面试技巧 #面试有秘招 #面试题 #面试问题 #Techlent转行数据科学,课程宣传
秋招一头雾水？8月北美data岗位数据速报！,https://www.xiaohongshu.com/explore/64f845ca000000001f005a78,09/06/2023,774,0,2,1,3,1,#秋招 #24届秋招 #北美data求职 #数据科学 #求职招聘 #数据分析 #数据分析求职 #Techlent转行数据科学,干货分享
